state,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
Tennessee,2020-01-22,-57,0,0,,,,,,
Tennessee,2020-01-23,-56,0,0,,,,,,
Tennessee,2020-01-24,-55,0,0,,,,,,
Tennessee,2020-01-25,-54,0,0,,,,,,
Tennessee,2020-01-26,-53,0,0,,,,,,
Tennessee,2020-01-27,-52,0,0,,,,,,
Tennessee,2020-01-28,-51,0,0,,,,,,
Tennessee,2020-01-29,-50,0,0,,,,,,
Tennessee,2020-01-30,-49,0,0,,,,,,
Tennessee,2020-01-31,-48,0,0,,,,,,
Tennessee,2020-02-01,-47,0,0,,,,,,
Tennessee,2020-02-02,-46,0,0,,,,,,
Tennessee,2020-02-03,-45,0,0,,,,,,
Tennessee,2020-02-04,-44,0,0,,,,,,
Tennessee,2020-02-05,-43,0,0,,,,,,
Tennessee,2020-02-06,-42,0,0,,,,,,
Tennessee,2020-02-07,-41,0,0,,,,,,
Tennessee,2020-02-08,-40,0,0,,,,,,
Tennessee,2020-02-09,-39,0,0,,,,,,
Tennessee,2020-02-10,-38,0,0,,,,,,
Tennessee,2020-02-11,-37,0,0,,,,,,
Tennessee,2020-02-12,-36,0,0,,,,,,
Tennessee,2020-02-13,-35,0,0,,,,,,
Tennessee,2020-02-14,-34,0,0,,,,,,
Tennessee,2020-02-15,-33,0,0,,,,,,
Tennessee,2020-02-16,-32,0,0,,,,,,
Tennessee,2020-02-17,-31,0,0,,,,,,
Tennessee,2020-02-18,-30,0,0,,,,,,
Tennessee,2020-02-19,-29,0,0,,,,,,
Tennessee,2020-02-20,-28,0,0,,,,,,
Tennessee,2020-02-21,-27,0,0,,,,,,
Tennessee,2020-02-22,-26,0,0,,,,,,
Tennessee,2020-02-23,-25,0,0,,,,,,
Tennessee,2020-02-24,-24,0,0,,,,,,
Tennessee,2020-02-25,-23,0,0,,,,,,
Tennessee,2020-02-26,-22,0,0,,,,,,
Tennessee,2020-02-27,-21,0,0,,,,,,
Tennessee,2020-02-28,-20,0,0,,,,,,
Tennessee,2020-02-29,-19,0,0,,,,,,
Tennessee,2020-03-01,-18,0,0,,,,,,
Tennessee,2020-03-02,-17,0,0,,,,,,
Tennessee,2020-03-03,-16,0,0,,,,,,
Tennessee,2020-03-04,-15,0,0,,,,,,
Tennessee,2020-03-05,-14,1,0,,,,,,
Tennessee,2020-03-06,-13,1,0,,,,,,
Tennessee,2020-03-07,-12,1,0,,,,,,
Tennessee,2020-03-08,-11,3,0,,,,,,
Tennessee,2020-03-09,-10,3,0,,,,,,
Tennessee,2020-03-10,-9,3,0,,,,,,
Tennessee,2020-03-11,-8,9,0,,,,,,
Tennessee,2020-03-12,-7,18,0,,,,,,
Tennessee,2020-03-13,-6,26,0,,,,,,
Tennessee,2020-03-14,-5,32,0,,,,,,
Tennessee,2020-03-15,-4,32,0,,,,,,
Tennessee,2020-03-16,-3,52,0,,,,,,
Tennessee,2020-03-17,-2,74,0,,,,,,
Tennessee,2020-03-18,-1,100,0,,,,,,
Tennessee,2020-03-19,0,154,0,,,,,,
Tennessee,2020-03-20,1,223,1,,,,,,
Tennessee,2020-03-21,2,304,1,,,,,,
Tennessee,2020-03-22,3,393,2,,,,,,
Tennessee,2020-03-23,4,614,2,,,,,,
Tennessee,2020-03-24,5,772,2,,,,,,
Tennessee,2020-03-25,6,916,3,,,,,,
Tennessee,2020-03-26,7,1097,3,,,,,,
Tennessee,2020-03-27,8,1318,6,,,,,,
Tennessee,2020-03-28,9,1511,7,,,,,,
Tennessee,2020-03-29,10,1720,8,,,,,,
Tennessee,2020-03-30,11,1917,14,,,,,,
Tennessee,2020-03-31,12,2391,23,,,,,,
Tennessee,2020-04-01,13,2933,24,,,,,,
Tennessee,2020-04-02,14,3013,36,,,,,,
Tennessee,2020-04-03,15,3067,41,,,,,,
Tennessee,2020-04-04,16,3322,50,,,,,,
Tennessee,2020-04-05,17,3633,53,,,,,,
Tennessee,2020-04-06,18,3802,65,,,,,,
Tennessee,2020-04-07,19,4139,72,,,,,,
Tennessee,2020-04-08,20,4363,80,,,,,,
Tennessee,2020-04-09,21,4634,94,,,,,,
Tennessee,2020-04-10,22,4891,98,,,,,,
Tennessee,2020-04-11,23,5132,106,,,,,,
Tennessee,2020-04-12,24,5508,106,,,,,,
Tennessee,2020-04-13,25,5610,109,,,,,,
Tennessee,2020-04-14,26,5827,124,,,,,,
Tennessee,2020-04-15,27,5827,124,,,,,,
Tennessee,2020-04-16,28,6166,136,,,,,,
Tennessee,2020-04-17,29,6263,141,,,,,,
Tennessee,2020-04-18,30,6589,142,,,,,,
Tennessee,2020-04-19,31,7070,148,,,,,,
Tennessee,2020-04-20,32,7238,152,,,,,,
Tennessee,2020-04-21,33,7394,157,,,,,,
Tennessee,2020-04-22,34,7394,157,,,,,,
Tennessee,2020-04-23,35,8266,171,,,,,,
Tennessee,2020-04-24,36,8728,169,,,,,,
Tennessee,2020-04-25,37,9189,177,,,,,,
Tennessee,2020-04-26,38,9667,181,,,,,,
Tennessee,2020-04-27,39,9918,184,,,,,,
