date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-11,Peru,Madre de Dios,-13,22,0,,,,,,
2020-04-12,Peru,Madre de Dios,-12,36,0,,,,,,
2020-04-13,Peru,Madre de Dios,-11,41,0,,,,,,
2020-04-14,Peru,Madre de Dios,-10,45,0,,,,,,
2020-04-15,Peru,Madre de Dios,-9,52,0,,,,,,
2020-04-16,Peru,Madre de Dios,-8,58,0,,,,,,
2020-04-17,Peru,Madre de Dios,-7,63,0,,,,,,
2020-04-18,Peru,Madre de Dios,-6,67,0,,,,,,
2020-04-20,Peru,Madre de Dios,-5,72,0,,,,,,
2020-04-21,Peru,Madre de Dios,-4,78,0,,,,,,
2020-04-22,Peru,Madre de Dios,-3,91,0,,,,,,
2020-04-23,Peru,Madre de Dios,-2,94,0,,,,,,
2020-04-24,Peru,Madre de Dios,-1,97,0,,,,,,
2020-04-25,Peru,Madre de Dios,0,104,1,,,,,,
2020-04-26,Peru,Madre de Dios,1,105,1,,,,,,
2020-04-27,Peru,Madre de Dios,2,115,1,,,,,,
2020-04-28,Peru,Madre de Dios,3,118,1,,,,,,
2020-04-29,Peru,Madre de Dios,4,126,1,,,,,,
2020-04-30,Peru,Madre de Dios,5,129,1,,,,,,
2020-05-01,Peru,Madre de Dios,6,132,1,,,,,,
2020-05-02,Peru,Madre de Dios,7,135,1,,,,,,
2020-05-04,Peru,Madre de Dios,8,140,1,,,,,,
2020-05-05,Peru,Madre de Dios,9,145,1,,,,,,
2020-05-06,Peru,Madre de Dios,10,151,2,,,,,,
2020-05-07,Peru,Madre de Dios,11,154,2,,,,,,
2020-05-08,Peru,Madre de Dios,12,159,2,,,,,,
2020-05-09,Peru,Madre de Dios,13,173,3,,,,,,
2020-05-11,Peru,Madre de Dios,14,191,3,,,,,,
2020-05-12,Peru,Madre de Dios,15,203,3,,,,,,
2020-05-13,Peru,Madre de Dios,16,220,3,,,,,,
2020-05-14,Peru,Madre de Dios,17,230,3,,,,,,
2020-05-15,Peru,Madre de Dios,18,235,4,,,,,,
2020-05-16,Peru,Madre de Dios,19,255,4,,,,,,
2020-05-18,Peru,Madre de Dios,20,272,4,,,,,,
