date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,KY_Barren_County,-168,0,0,,,,,,
2020-01-23,US,KY_Barren_County,-167,0,0,,,,,,
2020-01-24,US,KY_Barren_County,-166,0,0,,,,,,
2020-01-25,US,KY_Barren_County,-165,0,0,,,,,,
2020-01-26,US,KY_Barren_County,-164,0,0,,,,,,
2020-01-27,US,KY_Barren_County,-163,0,0,,,,,,
2020-01-28,US,KY_Barren_County,-162,0,0,,,,,,
2020-01-29,US,KY_Barren_County,-161,0,0,,,,,,
2020-01-30,US,KY_Barren_County,-160,0,0,,,,,,
2020-01-31,US,KY_Barren_County,-159,0,0,,,,,,
2020-02-01,US,KY_Barren_County,-158,0,0,,,,,,
2020-02-02,US,KY_Barren_County,-157,0,0,,,,,,
2020-02-03,US,KY_Barren_County,-156,0,0,,,,,,
2020-02-04,US,KY_Barren_County,-155,0,0,,,,,,
2020-02-05,US,KY_Barren_County,-154,0,0,,,,,,
2020-02-06,US,KY_Barren_County,-153,0,0,,,,,,
2020-02-07,US,KY_Barren_County,-152,0,0,,,,,,
2020-02-08,US,KY_Barren_County,-151,0,0,,,,,,
2020-02-09,US,KY_Barren_County,-150,0,0,,,,,,
2020-02-10,US,KY_Barren_County,-149,0,0,,,,,,
2020-02-11,US,KY_Barren_County,-148,0,0,,,,,,
2020-02-12,US,KY_Barren_County,-147,0,0,,,,,,
2020-02-13,US,KY_Barren_County,-146,0,0,,,,,,
2020-02-14,US,KY_Barren_County,-145,0,0,,,,,,
2020-02-15,US,KY_Barren_County,-144,0,0,,,,,,
2020-02-16,US,KY_Barren_County,-143,0,0,,,,,,
2020-02-17,US,KY_Barren_County,-142,0,0,,,,,,
2020-02-18,US,KY_Barren_County,-141,0,0,,,,,,
2020-02-19,US,KY_Barren_County,-140,0,0,,,,,,
2020-02-20,US,KY_Barren_County,-139,0,0,,,,,,
2020-02-21,US,KY_Barren_County,-138,0,0,,,,,,
2020-02-22,US,KY_Barren_County,-137,0,0,,,,,,
2020-02-23,US,KY_Barren_County,-136,0,0,,,,,,
2020-02-24,US,KY_Barren_County,-135,0,0,,,,,,
2020-02-25,US,KY_Barren_County,-134,0,0,,,,,,
2020-02-26,US,KY_Barren_County,-133,0,0,,,,,,
2020-02-27,US,KY_Barren_County,-132,0,0,,,,,,
2020-02-28,US,KY_Barren_County,-131,0,0,,,,,,
2020-02-29,US,KY_Barren_County,-130,0,0,,,,,,
2020-03-01,US,KY_Barren_County,-129,0,0,,,,,,
2020-03-02,US,KY_Barren_County,-128,0,0,,,,,,
2020-03-03,US,KY_Barren_County,-127,0,0,,,,,,
2020-03-04,US,KY_Barren_County,-126,0,0,,,,,,
2020-03-05,US,KY_Barren_County,-125,0,0,,,,,,
2020-03-06,US,KY_Barren_County,-124,0,0,,,,,,
2020-03-07,US,KY_Barren_County,-123,0,0,,,,,,
2020-03-08,US,KY_Barren_County,-122,0,0,,,,,,
2020-03-09,US,KY_Barren_County,-121,0,0,,,,,,
2020-03-10,US,KY_Barren_County,-120,0,0,,,,,,
2020-03-11,US,KY_Barren_County,-119,0,0,,,,,,
2020-03-12,US,KY_Barren_County,-118,0,0,,,,,,
2020-03-13,US,KY_Barren_County,-117,0,0,,,,,,
2020-03-14,US,KY_Barren_County,-116,0,0,,,,,,
2020-03-15,US,KY_Barren_County,-115,0,0,,,,,,
2020-03-16,US,KY_Barren_County,-114,0,0,,,,,,
2020-03-17,US,KY_Barren_County,-113,0,0,,,,,,
2020-03-18,US,KY_Barren_County,-112,0,0,,,,,,
2020-03-19,US,KY_Barren_County,-111,0,0,,,,,,
2020-03-20,US,KY_Barren_County,-110,0,0,,,,,,
2020-03-21,US,KY_Barren_County,-109,0,0,,,,,,
2020-03-22,US,KY_Barren_County,-108,0,0,,,,,,
2020-03-23,US,KY_Barren_County,-107,0,0,,,,,,
2020-03-24,US,KY_Barren_County,-106,0,0,,,,,,
2020-03-25,US,KY_Barren_County,-105,0,0,,,,,,
2020-03-26,US,KY_Barren_County,-104,0,0,,,,,,
2020-03-27,US,KY_Barren_County,-103,0,0,,,,,,
2020-03-28,US,KY_Barren_County,-102,0,0,,,,,,
2020-03-29,US,KY_Barren_County,-101,1,0,,,,,,
2020-03-30,US,KY_Barren_County,-100,1,0,,,,,,
2020-03-31,US,KY_Barren_County,-99,1,0,,,,,,
2020-04-01,US,KY_Barren_County,-98,1,0,,,,,,
2020-04-02,US,KY_Barren_County,-97,1,0,,,,,,
2020-04-03,US,KY_Barren_County,-96,1,0,,,,,,
2020-04-04,US,KY_Barren_County,-95,1,0,,,,,,
2020-04-05,US,KY_Barren_County,-94,1,0,,,,,,
2020-04-06,US,KY_Barren_County,-93,1,0,,,,,,
2020-04-07,US,KY_Barren_County,-92,1,0,,,,,,
2020-04-08,US,KY_Barren_County,-91,3,0,,,,,,
2020-04-09,US,KY_Barren_County,-90,3,0,,,,,,
2020-04-10,US,KY_Barren_County,-89,5,0,,,,,,
2020-04-11,US,KY_Barren_County,-88,5,0,,,,,,
2020-04-12,US,KY_Barren_County,-87,5,0,,,,,,
2020-04-13,US,KY_Barren_County,-86,5,0,,,,,,
2020-04-14,US,KY_Barren_County,-85,5,0,,,,,,
2020-04-15,US,KY_Barren_County,-84,5,0,,,,,,
2020-04-16,US,KY_Barren_County,-83,6,0,,,,,,
2020-04-17,US,KY_Barren_County,-82,6,0,,,,,,
2020-04-18,US,KY_Barren_County,-81,6,0,,,,,,
2020-04-19,US,KY_Barren_County,-80,6,0,,,,,,
2020-04-20,US,KY_Barren_County,-79,6,0,,,,,,
2020-04-21,US,KY_Barren_County,-78,7,0,,,,,,
2020-04-22,US,KY_Barren_County,-77,8,0,,,,,,
2020-04-23,US,KY_Barren_County,-76,8,0,,,,,,
2020-04-24,US,KY_Barren_County,-75,9,0,,,,,,
2020-04-25,US,KY_Barren_County,-74,13,0,,,,,,
2020-04-26,US,KY_Barren_County,-73,13,0,,,,,,
2020-04-27,US,KY_Barren_County,-72,15,0,,,,,,
2020-04-28,US,KY_Barren_County,-71,15,0,,,,,,
2020-04-29,US,KY_Barren_County,-70,16,0,,,,,,
2020-04-30,US,KY_Barren_County,-69,17,0,,,,,,
2020-05-01,US,KY_Barren_County,-68,17,0,,,,,,
2020-05-02,US,KY_Barren_County,-67,17,0,,,,,,
2020-05-03,US,KY_Barren_County,-66,18,0,,,,,,
2020-05-04,US,KY_Barren_County,-65,20,0,,,,,,
2020-05-05,US,KY_Barren_County,-64,22,0,,,,,,
2020-05-06,US,KY_Barren_County,-63,22,0,,,,,,
2020-05-07,US,KY_Barren_County,-62,24,0,,,,,,
2020-05-08,US,KY_Barren_County,-61,24,0,,,,,,
2020-05-09,US,KY_Barren_County,-60,28,0,,,,,,
2020-05-10,US,KY_Barren_County,-59,28,0,,,,,,
2020-05-11,US,KY_Barren_County,-58,28,0,,,,,,
2020-05-12,US,KY_Barren_County,-57,30,0,,,,,,
2020-05-13,US,KY_Barren_County,-56,33,0,,,,,,
2020-05-14,US,KY_Barren_County,-55,34,0,,,,,,
2020-05-15,US,KY_Barren_County,-54,34,0,,,,,,
2020-05-16,US,KY_Barren_County,-53,34,0,,,,,,
2020-05-17,US,KY_Barren_County,-52,34,0,,,,,,
2020-05-18,US,KY_Barren_County,-51,34,0,,,,,,
2020-05-19,US,KY_Barren_County,-50,34,0,,,,,,
2020-05-20,US,KY_Barren_County,-49,38,0,,,,,,
2020-05-21,US,KY_Barren_County,-48,38,0,,,,,,
2020-05-22,US,KY_Barren_County,-47,40,1,,,,,,
2020-05-23,US,KY_Barren_County,-46,42,1,,,,,,
2020-05-24,US,KY_Barren_County,-45,42,1,,,,,,
2020-05-25,US,KY_Barren_County,-44,42,1,,,,,,
2020-05-26,US,KY_Barren_County,-43,43,1,,,,,,
2020-05-27,US,KY_Barren_County,-42,44,1,,,,,,
2020-05-28,US,KY_Barren_County,-41,44,1,,,,,,
2020-05-29,US,KY_Barren_County,-40,45,1,,,,,,
2020-05-30,US,KY_Barren_County,-39,45,1,,,,,,
2020-05-31,US,KY_Barren_County,-38,45,1,,,,,,
2020-06-01,US,KY_Barren_County,-37,47,1,,,,,,
2020-06-02,US,KY_Barren_County,-36,49,1,,,,,,
2020-06-03,US,KY_Barren_County,-35,49,1,,,,,,
2020-06-04,US,KY_Barren_County,-34,50,1,,,,,,
2020-06-05,US,KY_Barren_County,-33,53,1,,,,,,
2020-06-06,US,KY_Barren_County,-32,53,1,,,,,,
2020-06-07,US,KY_Barren_County,-31,53,1,,,,,,
2020-06-08,US,KY_Barren_County,-30,55,1,,,,,,
2020-06-09,US,KY_Barren_County,-29,56,2,,,,,,
2020-06-10,US,KY_Barren_County,-28,59,2,,,,,,
2020-06-11,US,KY_Barren_County,-27,59,2,,,,,,
2020-06-12,US,KY_Barren_County,-26,61,2,,,,,,
2020-06-13,US,KY_Barren_County,-25,65,2,,,,,,
2020-06-14,US,KY_Barren_County,-24,65,2,,,,,,
2020-06-15,US,KY_Barren_County,-23,66,2,,,,,,
2020-06-16,US,KY_Barren_County,-22,66,2,,,,,,
2020-06-17,US,KY_Barren_County,-21,67,2,,,,,,
2020-06-18,US,KY_Barren_County,-20,68,2,,,,,,
2020-06-19,US,KY_Barren_County,-19,70,2,,,,,,
2020-06-20,US,KY_Barren_County,-18,70,2,,,,,,
2020-06-21,US,KY_Barren_County,-17,71,2,,,,,,
2020-06-22,US,KY_Barren_County,-16,71,2,,,,,,
2020-06-23,US,KY_Barren_County,-15,74,2,,,,,,
2020-06-24,US,KY_Barren_County,-14,76,2,,,,,,
