date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,SC_Williamsburg_County,-105,0,0,,,,,,
2020-01-23,US,SC_Williamsburg_County,-104,0,0,,,,,,
2020-01-24,US,SC_Williamsburg_County,-103,0,0,,,,,,
2020-01-25,US,SC_Williamsburg_County,-102,0,0,,,,,,
2020-01-26,US,SC_Williamsburg_County,-101,0,0,,,,,,
2020-01-27,US,SC_Williamsburg_County,-100,0,0,,,,,,
2020-01-28,US,SC_Williamsburg_County,-99,0,0,,,,,,
2020-01-29,US,SC_Williamsburg_County,-98,0,0,,,,,,
2020-01-30,US,SC_Williamsburg_County,-97,0,0,,,,,,
2020-01-31,US,SC_Williamsburg_County,-96,0,0,,,,,,
2020-02-01,US,SC_Williamsburg_County,-95,0,0,,,,,,
2020-02-02,US,SC_Williamsburg_County,-94,0,0,,,,,,
2020-02-03,US,SC_Williamsburg_County,-93,0,0,,,,,,
2020-02-04,US,SC_Williamsburg_County,-92,0,0,,,,,,
2020-02-05,US,SC_Williamsburg_County,-91,0,0,,,,,,
2020-02-06,US,SC_Williamsburg_County,-90,0,0,,,,,,
2020-02-07,US,SC_Williamsburg_County,-89,0,0,,,,,,
2020-02-08,US,SC_Williamsburg_County,-88,0,0,,,,,,
2020-02-09,US,SC_Williamsburg_County,-87,0,0,,,,,,
2020-02-10,US,SC_Williamsburg_County,-86,0,0,,,,,,
2020-02-11,US,SC_Williamsburg_County,-85,0,0,,,,,,
2020-02-12,US,SC_Williamsburg_County,-84,0,0,,,,,,
2020-02-13,US,SC_Williamsburg_County,-83,0,0,,,,,,
2020-02-14,US,SC_Williamsburg_County,-82,0,0,,,,,,
2020-02-15,US,SC_Williamsburg_County,-81,0,0,,,,,,
2020-02-16,US,SC_Williamsburg_County,-80,0,0,,,,,,
2020-02-17,US,SC_Williamsburg_County,-79,0,0,,,,,,
2020-02-18,US,SC_Williamsburg_County,-78,0,0,,,,,,
2020-02-19,US,SC_Williamsburg_County,-77,0,0,,,,,,
2020-02-20,US,SC_Williamsburg_County,-76,0,0,,,,,,
2020-02-21,US,SC_Williamsburg_County,-75,0,0,,,,,,
2020-02-22,US,SC_Williamsburg_County,-74,0,0,,,,,,
2020-02-23,US,SC_Williamsburg_County,-73,0,0,,,,,,
2020-02-24,US,SC_Williamsburg_County,-72,0,0,,,,,,
2020-02-25,US,SC_Williamsburg_County,-71,0,0,,,,,,
2020-02-26,US,SC_Williamsburg_County,-70,0,0,,,,,,
2020-02-27,US,SC_Williamsburg_County,-69,0,0,,,,,,
2020-02-28,US,SC_Williamsburg_County,-68,0,0,,,,,,
2020-02-29,US,SC_Williamsburg_County,-67,0,0,,,,,,
2020-03-01,US,SC_Williamsburg_County,-66,0,0,,,,,,
2020-03-02,US,SC_Williamsburg_County,-65,0,0,,,,,,
2020-03-03,US,SC_Williamsburg_County,-64,0,0,,,,,,
2020-03-04,US,SC_Williamsburg_County,-63,0,0,,,,,,
2020-03-05,US,SC_Williamsburg_County,-62,0,0,,,,,,
2020-03-06,US,SC_Williamsburg_County,-61,0,0,,,,,,
2020-03-07,US,SC_Williamsburg_County,-60,0,0,,,,,,
2020-03-08,US,SC_Williamsburg_County,-59,0,0,,,,,,
2020-03-09,US,SC_Williamsburg_County,-58,0,0,,,,,,
2020-03-10,US,SC_Williamsburg_County,-57,0,0,,,,,,
