date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,LA_St._Tammany_Parish,-32,0,0,,,,,,
2020-01-25,US,LA_St._Tammany_Parish,-31,0,0,,,,,,
2020-01-27,US,LA_St._Tammany_Parish,-30,0,0,,,,,,
2020-01-29,US,LA_St._Tammany_Parish,-29,0,0,,,,,,
2020-01-31,US,LA_St._Tammany_Parish,-28,0,0,,,,,,
2020-02-02,US,LA_St._Tammany_Parish,-27,0,0,,,,,,
2020-02-04,US,LA_St._Tammany_Parish,-26,0,0,,,,,,
2020-02-06,US,LA_St._Tammany_Parish,-25,0,0,,,,,,
2020-02-08,US,LA_St._Tammany_Parish,-24,0,0,,,,,,
2020-02-10,US,LA_St._Tammany_Parish,-23,0,0,,,,,,
2020-02-12,US,LA_St._Tammany_Parish,-22,0,0,,,,,,
2020-02-14,US,LA_St._Tammany_Parish,-21,0,0,,,,,,
2020-02-16,US,LA_St._Tammany_Parish,-20,0,0,,,,,,
2020-02-18,US,LA_St._Tammany_Parish,-19,0,0,,,,,,
2020-02-20,US,LA_St._Tammany_Parish,-18,0,0,,,,,,
2020-02-22,US,LA_St._Tammany_Parish,-17,0,0,,,,,,
2020-02-24,US,LA_St._Tammany_Parish,-16,0,0,,,,,,
2020-02-26,US,LA_St._Tammany_Parish,-15,0,0,,,,,,
2020-02-28,US,LA_St._Tammany_Parish,-14,0,0,,,,,,
2020-03-01,US,LA_St._Tammany_Parish,-13,0,0,,,,,,
2020-03-03,US,LA_St._Tammany_Parish,-12,0,0,,,,,,
2020-03-05,US,LA_St._Tammany_Parish,-11,0,0,,,,,,
2020-03-07,US,LA_St._Tammany_Parish,-10,0,0,,,,,,
2020-03-09,US,LA_St._Tammany_Parish,-9,0,0,,,,,,
2020-03-11,US,LA_St._Tammany_Parish,-8,0,0,,,,,,
2020-03-13,US,LA_St._Tammany_Parish,-7,2,0,,,,,,
