date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,NC_Alamance_County,-100,0,0,,,,,,
2020-01-23,US,NC_Alamance_County,-99,0,0,,,,,,
2020-01-24,US,NC_Alamance_County,-98,0,0,,,,,,
2020-01-25,US,NC_Alamance_County,-97,0,0,,,,,,
2020-01-26,US,NC_Alamance_County,-96,0,0,,,,,,
2020-01-27,US,NC_Alamance_County,-95,0,0,,,,,,
2020-01-28,US,NC_Alamance_County,-94,0,0,,,,,,
2020-01-29,US,NC_Alamance_County,-93,0,0,,,,,,
2020-01-30,US,NC_Alamance_County,-92,0,0,,,,,,
2020-01-31,US,NC_Alamance_County,-91,0,0,,,,,,
2020-02-01,US,NC_Alamance_County,-90,0,0,,,,,,
2020-02-02,US,NC_Alamance_County,-89,0,0,,,,,,
2020-02-03,US,NC_Alamance_County,-88,0,0,,,,,,
2020-02-04,US,NC_Alamance_County,-87,0,0,,,,,,
2020-02-05,US,NC_Alamance_County,-86,0,0,,,,,,
2020-02-06,US,NC_Alamance_County,-85,0,0,,,,,,
2020-02-07,US,NC_Alamance_County,-84,0,0,,,,,,
2020-02-08,US,NC_Alamance_County,-83,0,0,,,,,,
2020-02-09,US,NC_Alamance_County,-82,0,0,,,,,,
2020-02-10,US,NC_Alamance_County,-81,0,0,,,,,,
2020-02-11,US,NC_Alamance_County,-80,0,0,,,,,,
2020-02-12,US,NC_Alamance_County,-79,0,0,,,,,,
2020-02-13,US,NC_Alamance_County,-78,0,0,,,,,,
2020-02-14,US,NC_Alamance_County,-77,0,0,,,,,,
2020-02-15,US,NC_Alamance_County,-76,0,0,,,,,,
2020-02-16,US,NC_Alamance_County,-75,0,0,,,,,,
2020-02-17,US,NC_Alamance_County,-74,0,0,,,,,,
2020-02-18,US,NC_Alamance_County,-73,0,0,,,,,,
2020-02-19,US,NC_Alamance_County,-72,0,0,,,,,,
2020-02-20,US,NC_Alamance_County,-71,0,0,,,,,,
2020-02-21,US,NC_Alamance_County,-70,0,0,,,,,,
2020-02-22,US,NC_Alamance_County,-69,0,0,,,,,,
2020-02-23,US,NC_Alamance_County,-68,0,0,,,,,,
2020-02-24,US,NC_Alamance_County,-67,0,0,,,,,,
2020-02-25,US,NC_Alamance_County,-66,0,0,,,,,,
2020-02-26,US,NC_Alamance_County,-65,0,0,,,,,,
2020-02-27,US,NC_Alamance_County,-64,0,0,,,,,,
2020-02-28,US,NC_Alamance_County,-63,0,0,,,,,,
2020-02-29,US,NC_Alamance_County,-62,0,0,,,,,,
2020-03-01,US,NC_Alamance_County,-61,0,0,,,,,,
2020-03-02,US,NC_Alamance_County,-60,0,0,,,,,,
2020-03-03,US,NC_Alamance_County,-59,0,0,,,,,,
2020-03-04,US,NC_Alamance_County,-58,0,0,,,,,,
2020-03-05,US,NC_Alamance_County,-57,0,0,,,,,,
2020-03-06,US,NC_Alamance_County,-56,0,0,,,,,,
2020-03-07,US,NC_Alamance_County,-55,0,0,,,,,,
2020-03-08,US,NC_Alamance_County,-54,0,0,,,,,,
2020-03-09,US,NC_Alamance_County,-53,0,0,,,,,,
2020-03-10,US,NC_Alamance_County,-52,0,0,,,,,,
2020-03-11,US,NC_Alamance_County,-51,0,0,,,,,,
2020-03-12,US,NC_Alamance_County,-50,0,0,,,,,,
2020-03-13,US,NC_Alamance_County,-49,0,0,,,,,,
2020-03-14,US,NC_Alamance_County,-48,0,0,,,,,,
2020-03-15,US,NC_Alamance_County,-47,0,0,,,,,,
2020-03-16,US,NC_Alamance_County,-46,0,0,,,,,,
2020-03-17,US,NC_Alamance_County,-45,0,0,,,,,,
2020-03-18,US,NC_Alamance_County,-44,0,0,,,,,,
2020-03-19,US,NC_Alamance_County,-43,0,0,,,,,,
2020-03-20,US,NC_Alamance_County,-42,0,0,,,,,,
2020-03-21,US,NC_Alamance_County,-41,1,0,,,,,,
2020-03-22,US,NC_Alamance_County,-40,1,0,,,,,,
2020-03-23,US,NC_Alamance_County,-39,2,0,,,,,,
2020-03-24,US,NC_Alamance_County,-38,2,0,,,,,,
2020-03-25,US,NC_Alamance_County,-37,2,0,,,,,,
2020-03-26,US,NC_Alamance_County,-36,4,0,,,,,,
2020-03-27,US,NC_Alamance_County,-35,5,0,,,,,,
2020-03-28,US,NC_Alamance_County,-34,5,0,,,,,,
2020-03-29,US,NC_Alamance_County,-33,6,0,,,,,,
2020-03-30,US,NC_Alamance_County,-32,7,0,,,,,,
2020-03-31,US,NC_Alamance_County,-31,7,0,,,,,,
2020-04-01,US,NC_Alamance_County,-30,7,0,,,,,,
2020-04-02,US,NC_Alamance_County,-29,13,0,,,,,,
2020-04-03,US,NC_Alamance_County,-28,14,0,,,,,,
2020-04-04,US,NC_Alamance_County,-27,16,0,,,,,,
2020-04-05,US,NC_Alamance_County,-26,18,0,,,,,,
2020-04-06,US,NC_Alamance_County,-25,18,0,,,,,,
2020-04-07,US,NC_Alamance_County,-24,24,0,,,,,,
2020-04-08,US,NC_Alamance_County,-23,27,0,,,,,,
2020-04-09,US,NC_Alamance_County,-22,29,0,,,,,,
2020-04-10,US,NC_Alamance_County,-21,33,0,,,,,,
2020-04-11,US,NC_Alamance_County,-20,34,0,,,,,,
2020-04-12,US,NC_Alamance_County,-19,36,0,,,,,,
2020-04-13,US,NC_Alamance_County,-18,40,0,,,,,,
2020-04-14,US,NC_Alamance_County,-17,42,0,,,,,,
2020-04-15,US,NC_Alamance_County,-16,42,0,,,,,,
2020-04-16,US,NC_Alamance_County,-15,45,0,,,,,,
2020-04-17,US,NC_Alamance_County,-14,47,0,,,,,,
2020-04-18,US,NC_Alamance_County,-13,47,0,,,,,,
2020-04-19,US,NC_Alamance_County,-12,49,0,,,,,,
2020-04-20,US,NC_Alamance_County,-11,49,0,,,,,,
2020-04-21,US,NC_Alamance_County,-10,52,0,,,,,,
2020-04-22,US,NC_Alamance_County,-9,55,0,,,,,,
2020-04-23,US,NC_Alamance_County,-8,63,0,,,,,,
