date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,MI_Monroe_County,-73,0,0,,,,,,
2020-01-23,US,MI_Monroe_County,-72,0,0,,,,,,
2020-01-24,US,MI_Monroe_County,-71,0,0,,,,,,
2020-01-25,US,MI_Monroe_County,-70,0,0,,,,,,
2020-01-26,US,MI_Monroe_County,-69,0,0,,,,,,
2020-01-27,US,MI_Monroe_County,-68,0,0,,,,,,
2020-01-28,US,MI_Monroe_County,-67,0,0,,,,,,
2020-01-29,US,MI_Monroe_County,-66,0,0,,,,,,
2020-01-30,US,MI_Monroe_County,-65,0,0,,,,,,
2020-01-31,US,MI_Monroe_County,-64,0,0,,,,,,
2020-02-01,US,MI_Monroe_County,-63,0,0,,,,,,
2020-02-02,US,MI_Monroe_County,-62,0,0,,,,,,
2020-02-03,US,MI_Monroe_County,-61,0,0,,,,,,
2020-02-04,US,MI_Monroe_County,-60,0,0,,,,,,
2020-02-05,US,MI_Monroe_County,-59,0,0,,,,,,
2020-02-06,US,MI_Monroe_County,-58,0,0,,,,,,
2020-02-07,US,MI_Monroe_County,-57,0,0,,,,,,
2020-02-08,US,MI_Monroe_County,-56,0,0,,,,,,
2020-02-09,US,MI_Monroe_County,-55,0,0,,,,,,
2020-02-10,US,MI_Monroe_County,-54,0,0,,,,,,
2020-02-11,US,MI_Monroe_County,-53,0,0,,,,,,
2020-02-12,US,MI_Monroe_County,-52,0,0,,,,,,
2020-02-13,US,MI_Monroe_County,-51,0,0,,,,,,
2020-02-14,US,MI_Monroe_County,-50,0,0,,,,,,
2020-02-15,US,MI_Monroe_County,-49,0,0,,,,,,
2020-02-16,US,MI_Monroe_County,-48,0,0,,,,,,
2020-02-17,US,MI_Monroe_County,-47,0,0,,,,,,
2020-02-18,US,MI_Monroe_County,-46,0,0,,,,,,
2020-02-19,US,MI_Monroe_County,-45,0,0,,,,,,
2020-02-20,US,MI_Monroe_County,-44,0,0,,,,,,
2020-02-21,US,MI_Monroe_County,-43,0,0,,,,,,
2020-02-22,US,MI_Monroe_County,-42,0,0,,,,,,
2020-02-23,US,MI_Monroe_County,-41,0,0,,,,,,
