date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,ME_Penobscot_County,-127,0,0,,,,,,
2020-01-23,US,ME_Penobscot_County,-126,0,0,,,,,,
2020-01-24,US,ME_Penobscot_County,-125,0,0,,,,,,
2020-01-25,US,ME_Penobscot_County,-124,0,0,,,,,,
2020-01-26,US,ME_Penobscot_County,-123,0,0,,,,,,
2020-01-27,US,ME_Penobscot_County,-122,0,0,,,,,,
2020-01-28,US,ME_Penobscot_County,-121,0,0,,,,,,
2020-01-29,US,ME_Penobscot_County,-120,0,0,,,,,,
2020-01-30,US,ME_Penobscot_County,-119,0,0,,,,,,
2020-01-31,US,ME_Penobscot_County,-118,0,0,,,,,,
2020-02-01,US,ME_Penobscot_County,-117,0,0,,,,,,
2020-02-02,US,ME_Penobscot_County,-116,0,0,,,,,,
2020-02-03,US,ME_Penobscot_County,-115,0,0,,,,,,
2020-02-04,US,ME_Penobscot_County,-114,0,0,,,,,,
2020-02-05,US,ME_Penobscot_County,-113,0,0,,,,,,
2020-02-06,US,ME_Penobscot_County,-112,0,0,,,,,,
2020-02-07,US,ME_Penobscot_County,-111,0,0,,,,,,
2020-02-08,US,ME_Penobscot_County,-110,0,0,,,,,,
2020-02-09,US,ME_Penobscot_County,-109,0,0,,,,,,
2020-02-10,US,ME_Penobscot_County,-108,0,0,,,,,,
2020-02-11,US,ME_Penobscot_County,-107,0,0,,,,,,
2020-02-12,US,ME_Penobscot_County,-106,0,0,,,,,,
2020-02-13,US,ME_Penobscot_County,-105,0,0,,,,,,
2020-02-14,US,ME_Penobscot_County,-104,0,0,,,,,,
2020-02-15,US,ME_Penobscot_County,-103,0,0,,,,,,
2020-02-16,US,ME_Penobscot_County,-102,0,0,,,,,,
2020-02-17,US,ME_Penobscot_County,-101,0,0,,,,,,
2020-02-18,US,ME_Penobscot_County,-100,0,0,,,,,,
2020-02-19,US,ME_Penobscot_County,-99,0,0,,,,,,
2020-02-20,US,ME_Penobscot_County,-98,0,0,,,,,,
2020-02-21,US,ME_Penobscot_County,-97,0,0,,,,,,
2020-02-22,US,ME_Penobscot_County,-96,0,0,,,,,,
2020-02-23,US,ME_Penobscot_County,-95,0,0,,,,,,
2020-02-24,US,ME_Penobscot_County,-94,0,0,,,,,,
