date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,AR_Lawrence_County,-161,0,0,,,,,,
2020-01-23,US,AR_Lawrence_County,-160,0,0,,,,,,
2020-01-24,US,AR_Lawrence_County,-159,0,0,,,,,,
2020-01-25,US,AR_Lawrence_County,-158,0,0,,,,,,
2020-01-26,US,AR_Lawrence_County,-157,0,0,,,,,,
2020-01-27,US,AR_Lawrence_County,-156,0,0,,,,,,
2020-01-28,US,AR_Lawrence_County,-155,0,0,,,,,,
2020-01-29,US,AR_Lawrence_County,-154,0,0,,,,,,
2020-01-30,US,AR_Lawrence_County,-153,0,0,,,,,,
2020-01-31,US,AR_Lawrence_County,-152,0,0,,,,,,
2020-02-01,US,AR_Lawrence_County,-151,0,0,,,,,,
2020-02-02,US,AR_Lawrence_County,-150,0,0,,,,,,
2020-02-03,US,AR_Lawrence_County,-149,0,0,,,,,,
2020-02-04,US,AR_Lawrence_County,-148,0,0,,,,,,
2020-02-05,US,AR_Lawrence_County,-147,0,0,,,,,,
2020-02-06,US,AR_Lawrence_County,-146,0,0,,,,,,
2020-02-07,US,AR_Lawrence_County,-145,0,0,,,,,,
2020-02-08,US,AR_Lawrence_County,-144,0,0,,,,,,
2020-02-09,US,AR_Lawrence_County,-143,0,0,,,,,,
2020-02-10,US,AR_Lawrence_County,-142,0,0,,,,,,
2020-02-11,US,AR_Lawrence_County,-141,0,0,,,,,,
2020-02-12,US,AR_Lawrence_County,-140,0,0,,,,,,
2020-02-13,US,AR_Lawrence_County,-139,0,0,,,,,,
2020-02-14,US,AR_Lawrence_County,-138,0,0,,,,,,
2020-02-15,US,AR_Lawrence_County,-137,0,0,,,,,,
2020-02-16,US,AR_Lawrence_County,-136,0,0,,,,,,
2020-02-17,US,AR_Lawrence_County,-135,0,0,,,,,,
2020-02-18,US,AR_Lawrence_County,-134,0,0,,,,,,
2020-02-19,US,AR_Lawrence_County,-133,0,0,,,,,,
2020-02-20,US,AR_Lawrence_County,-132,0,0,,,,,,
2020-02-21,US,AR_Lawrence_County,-131,0,0,,,,,,
2020-02-22,US,AR_Lawrence_County,-130,0,0,,,,,,
2020-02-23,US,AR_Lawrence_County,-129,0,0,,,,,,
2020-02-24,US,AR_Lawrence_County,-128,0,0,,,,,,
2020-02-25,US,AR_Lawrence_County,-127,0,0,,,,,,
2020-02-26,US,AR_Lawrence_County,-126,0,0,,,,,,
2020-02-27,US,AR_Lawrence_County,-125,0,0,,,,,,
2020-02-28,US,AR_Lawrence_County,-124,0,0,,,,,,
2020-02-29,US,AR_Lawrence_County,-123,0,0,,,,,,
2020-03-01,US,AR_Lawrence_County,-122,0,0,,,,,,
2020-03-02,US,AR_Lawrence_County,-121,0,0,,,,,,
2020-03-03,US,AR_Lawrence_County,-120,0,0,,,,,,
2020-03-04,US,AR_Lawrence_County,-119,0,0,,,,,,
2020-03-05,US,AR_Lawrence_County,-118,0,0,,,,,,
2020-03-06,US,AR_Lawrence_County,-117,0,0,,,,,,
2020-03-07,US,AR_Lawrence_County,-116,0,0,,,,,,
2020-03-08,US,AR_Lawrence_County,-115,0,0,,,,,,
