date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,MD_Anne_Arundel_County,-68,0,0,,,,,,
2020-01-23,US,MD_Anne_Arundel_County,-67,0,0,,,,,,
2020-01-24,US,MD_Anne_Arundel_County,-66,0,0,,,,,,
2020-01-25,US,MD_Anne_Arundel_County,-65,0,0,,,,,,
2020-01-26,US,MD_Anne_Arundel_County,-64,0,0,,,,,,
2020-01-27,US,MD_Anne_Arundel_County,-63,0,0,,,,,,
2020-01-28,US,MD_Anne_Arundel_County,-62,0,0,,,,,,
2020-01-29,US,MD_Anne_Arundel_County,-61,0,0,,,,,,
2020-01-30,US,MD_Anne_Arundel_County,-60,0,0,,,,,,
2020-01-31,US,MD_Anne_Arundel_County,-59,0,0,,,,,,
2020-02-01,US,MD_Anne_Arundel_County,-58,0,0,,,,,,
2020-02-02,US,MD_Anne_Arundel_County,-57,0,0,,,,,,
2020-02-03,US,MD_Anne_Arundel_County,-56,0,0,,,,,,
2020-02-04,US,MD_Anne_Arundel_County,-55,0,0,,,,,,
2020-02-05,US,MD_Anne_Arundel_County,-54,0,0,,,,,,
2020-02-06,US,MD_Anne_Arundel_County,-53,0,0,,,,,,
2020-02-07,US,MD_Anne_Arundel_County,-52,0,0,,,,,,
2020-02-08,US,MD_Anne_Arundel_County,-51,0,0,,,,,,
2020-02-09,US,MD_Anne_Arundel_County,-50,0,0,,,,,,
2020-02-10,US,MD_Anne_Arundel_County,-49,0,0,,,,,,
2020-02-11,US,MD_Anne_Arundel_County,-48,0,0,,,,,,
2020-02-12,US,MD_Anne_Arundel_County,-47,0,0,,,,,,
2020-02-13,US,MD_Anne_Arundel_County,-46,0,0,,,,,,
2020-02-14,US,MD_Anne_Arundel_County,-45,0,0,,,,,,
2020-02-15,US,MD_Anne_Arundel_County,-44,0,0,,,,,,
2020-02-16,US,MD_Anne_Arundel_County,-43,0,0,,,,,,
2020-02-17,US,MD_Anne_Arundel_County,-42,0,0,,,,,,
2020-02-18,US,MD_Anne_Arundel_County,-41,0,0,,,,,,
2020-02-19,US,MD_Anne_Arundel_County,-40,0,0,,,,,,
2020-02-20,US,MD_Anne_Arundel_County,-39,0,0,,,,,,
2020-02-21,US,MD_Anne_Arundel_County,-38,0,0,,,,,,
2020-02-22,US,MD_Anne_Arundel_County,-37,0,0,,,,,,
2020-02-23,US,MD_Anne_Arundel_County,-36,0,0,,,,,,
2020-02-24,US,MD_Anne_Arundel_County,-35,0,0,,,,,,
2020-02-25,US,MD_Anne_Arundel_County,-34,0,0,,,,,,
2020-02-26,US,MD_Anne_Arundel_County,-33,0,0,,,,,,
2020-02-27,US,MD_Anne_Arundel_County,-32,0,0,,,,,,
2020-02-28,US,MD_Anne_Arundel_County,-31,0,0,,,,,,
2020-02-29,US,MD_Anne_Arundel_County,-30,0,0,,,,,,
2020-03-01,US,MD_Anne_Arundel_County,-29,0,0,,,,,,
2020-03-02,US,MD_Anne_Arundel_County,-28,0,0,,,,,,
2020-03-03,US,MD_Anne_Arundel_County,-27,0,0,,,,,,
2020-03-04,US,MD_Anne_Arundel_County,-26,0,0,,,,,,
2020-03-05,US,MD_Anne_Arundel_County,-25,0,0,,,,,,
2020-03-06,US,MD_Anne_Arundel_County,-24,0,0,,,,,,
2020-03-07,US,MD_Anne_Arundel_County,-23,0,0,,,,,,
2020-03-08,US,MD_Anne_Arundel_County,-22,0,0,,,,,,
2020-03-09,US,MD_Anne_Arundel_County,-21,0,0,,,,,,
2020-03-10,US,MD_Anne_Arundel_County,-20,0,0,,,,,,
2020-03-11,US,MD_Anne_Arundel_County,-19,0,0,,,,,,
2020-03-12,US,MD_Anne_Arundel_County,-18,0,0,,,,,,
2020-03-13,US,MD_Anne_Arundel_County,-17,1,0,,,,,,
2020-03-14,US,MD_Anne_Arundel_County,-16,1,0,,,,,,
2020-03-15,US,MD_Anne_Arundel_County,-15,1,0,,,,,,
2020-03-16,US,MD_Anne_Arundel_County,-14,1,0,,,,,,
2020-03-17,US,MD_Anne_Arundel_County,-13,3,0,,,,,,
2020-03-18,US,MD_Anne_Arundel_County,-12,4,0,,,,,,
2020-03-19,US,MD_Anne_Arundel_County,-11,5,0,,,,,,
2020-03-20,US,MD_Anne_Arundel_County,-10,15,0,,,,,,
2020-03-21,US,MD_Anne_Arundel_County,-9,15,0,,,,,,
2020-03-22,US,MD_Anne_Arundel_County,-8,18,0,,,,,,
2020-03-23,US,MD_Anne_Arundel_County,-7,20,0,,,,,,
