date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,IA_Washington_County,-84,0,0,,,,,,
2020-01-23,US,IA_Washington_County,-83,0,0,,,,,,
2020-01-24,US,IA_Washington_County,-82,0,0,,,,,,
2020-01-25,US,IA_Washington_County,-81,0,0,,,,,,
2020-01-26,US,IA_Washington_County,-80,0,0,,,,,,
2020-01-27,US,IA_Washington_County,-79,0,0,,,,,,
2020-01-28,US,IA_Washington_County,-78,0,0,,,,,,
2020-01-29,US,IA_Washington_County,-77,0,0,,,,,,
2020-01-30,US,IA_Washington_County,-76,0,0,,,,,,
2020-01-31,US,IA_Washington_County,-75,0,0,,,,,,
2020-02-01,US,IA_Washington_County,-74,0,0,,,,,,
2020-02-02,US,IA_Washington_County,-73,0,0,,,,,,
2020-02-03,US,IA_Washington_County,-72,0,0,,,,,,
2020-02-04,US,IA_Washington_County,-71,0,0,,,,,,
2020-02-05,US,IA_Washington_County,-70,0,0,,,,,,
2020-02-06,US,IA_Washington_County,-69,0,0,,,,,,
2020-02-07,US,IA_Washington_County,-68,0,0,,,,,,
2020-02-08,US,IA_Washington_County,-67,0,0,,,,,,
2020-02-09,US,IA_Washington_County,-66,0,0,,,,,,
2020-02-10,US,IA_Washington_County,-65,0,0,,,,,,
2020-02-11,US,IA_Washington_County,-64,0,0,,,,,,
2020-02-12,US,IA_Washington_County,-63,0,0,,,,,,
2020-02-13,US,IA_Washington_County,-62,0,0,,,,,,
2020-02-14,US,IA_Washington_County,-61,0,0,,,,,,
2020-02-15,US,IA_Washington_County,-60,0,0,,,,,,
2020-02-16,US,IA_Washington_County,-59,0,0,,,,,,
2020-02-17,US,IA_Washington_County,-58,0,0,,,,,,
2020-02-18,US,IA_Washington_County,-57,0,0,,,,,,
2020-02-19,US,IA_Washington_County,-56,0,0,,,,,,
2020-02-20,US,IA_Washington_County,-55,0,0,,,,,,
2020-02-21,US,IA_Washington_County,-54,0,0,,,,,,
2020-02-22,US,IA_Washington_County,-53,0,0,,,,,,
2020-02-23,US,IA_Washington_County,-52,0,0,,,,,,
2020-02-24,US,IA_Washington_County,-51,0,0,,,,,,
2020-02-25,US,IA_Washington_County,-50,0,0,,,,,,
2020-02-26,US,IA_Washington_County,-49,0,0,,,,,,
2020-02-27,US,IA_Washington_County,-48,0,0,,,,,,
2020-02-28,US,IA_Washington_County,-47,0,0,,,,,,
