date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,GA_Sumter_County,-76,0,0,,,,,,
2020-01-23,US,GA_Sumter_County,-75,0,0,,,,,,
2020-01-24,US,GA_Sumter_County,-74,0,0,,,,,,
2020-01-25,US,GA_Sumter_County,-73,0,0,,,,,,
2020-01-26,US,GA_Sumter_County,-72,0,0,,,,,,
2020-01-27,US,GA_Sumter_County,-71,0,0,,,,,,
2020-01-28,US,GA_Sumter_County,-70,0,0,,,,,,
2020-01-29,US,GA_Sumter_County,-69,0,0,,,,,,
2020-01-30,US,GA_Sumter_County,-68,0,0,,,,,,
2020-01-31,US,GA_Sumter_County,-67,0,0,,,,,,
2020-02-01,US,GA_Sumter_County,-66,0,0,,,,,,
2020-02-02,US,GA_Sumter_County,-65,0,0,,,,,,
2020-02-03,US,GA_Sumter_County,-64,0,0,,,,,,
2020-02-04,US,GA_Sumter_County,-63,0,0,,,,,,
2020-02-05,US,GA_Sumter_County,-62,0,0,,,,,,
2020-02-06,US,GA_Sumter_County,-61,0,0,,,,,,
2020-02-07,US,GA_Sumter_County,-60,0,0,,,,,,
2020-02-08,US,GA_Sumter_County,-59,0,0,,,,,,
2020-02-09,US,GA_Sumter_County,-58,0,0,,,,,,
2020-02-10,US,GA_Sumter_County,-57,0,0,,,,,,
2020-02-11,US,GA_Sumter_County,-56,0,0,,,,,,
2020-02-12,US,GA_Sumter_County,-55,0,0,,,,,,
2020-02-13,US,GA_Sumter_County,-54,0,0,,,,,,
2020-02-14,US,GA_Sumter_County,-53,0,0,,,,,,
2020-02-15,US,GA_Sumter_County,-52,0,0,,,,,,
2020-02-16,US,GA_Sumter_County,-51,0,0,,,,,,
2020-02-17,US,GA_Sumter_County,-50,0,0,,,,,,
2020-02-18,US,GA_Sumter_County,-49,0,0,,,,,,
2020-02-19,US,GA_Sumter_County,-48,0,0,,,,,,
2020-02-20,US,GA_Sumter_County,-47,0,0,,,,,,
2020-02-21,US,GA_Sumter_County,-46,0,0,,,,,,
2020-02-22,US,GA_Sumter_County,-45,0,0,,,,,,
2020-02-23,US,GA_Sumter_County,-44,0,0,,,,,,
2020-02-24,US,GA_Sumter_County,-43,0,0,,,,,,
2020-02-25,US,GA_Sumter_County,-42,0,0,,,,,,
2020-02-26,US,GA_Sumter_County,-41,0,0,,,,,,
2020-02-27,US,GA_Sumter_County,-40,0,0,,,,,,
2020-02-28,US,GA_Sumter_County,-39,0,0,,,,,,
2020-02-29,US,GA_Sumter_County,-38,0,0,,,,,,
2020-03-01,US,GA_Sumter_County,-37,0,0,,,,,,
2020-03-02,US,GA_Sumter_County,-36,0,0,,,,,,
2020-03-03,US,GA_Sumter_County,-35,0,0,,,,,,
2020-03-04,US,GA_Sumter_County,-34,0,0,,,,,,
2020-03-05,US,GA_Sumter_County,-33,0,0,,,,,,
2020-03-06,US,GA_Sumter_County,-32,0,0,,,,,,
2020-03-07,US,GA_Sumter_County,-31,0,0,,,,,,
2020-03-08,US,GA_Sumter_County,-30,0,0,,,,,,
2020-03-09,US,GA_Sumter_County,-29,0,0,,,,,,
2020-03-10,US,GA_Sumter_County,-28,0,0,,,,,,
2020-03-11,US,GA_Sumter_County,-27,0,0,,,,,,
2020-03-12,US,GA_Sumter_County,-26,0,0,,,,,,
2020-03-13,US,GA_Sumter_County,-25,0,0,,,,,,
2020-03-14,US,GA_Sumter_County,-24,0,0,,,,,,
2020-03-15,US,GA_Sumter_County,-23,0,0,,,,,,
2020-03-16,US,GA_Sumter_County,-22,0,0,,,,,,
2020-03-17,US,GA_Sumter_County,-21,0,0,,,,,,
2020-03-18,US,GA_Sumter_County,-20,0,0,,,,,,
2020-03-19,US,GA_Sumter_County,-19,0,0,,,,,,
2020-03-20,US,GA_Sumter_County,-18,2,0,,,,,,
2020-03-21,US,GA_Sumter_County,-17,2,0,,,,,,
2020-03-22,US,GA_Sumter_County,-16,2,0,,,,,,
2020-03-23,US,GA_Sumter_County,-15,2,0,,,,,,
2020-03-24,US,GA_Sumter_County,-14,4,0,,,,,,
2020-03-25,US,GA_Sumter_County,-13,5,0,,,,,,
2020-03-26,US,GA_Sumter_County,-12,7,0,,,,,,
2020-03-27,US,GA_Sumter_County,-11,10,0,,,,,,
2020-03-28,US,GA_Sumter_County,-10,13,1,,,,,,
2020-03-29,US,GA_Sumter_County,-9,15,1,,,,,,
2020-03-30,US,GA_Sumter_County,-8,17,2,,,,,,
2020-03-31,US,GA_Sumter_County,-7,35,2,,,,,,
2020-04-01,US,GA_Sumter_County,-6,38,3,,,,,,
2020-04-02,US,GA_Sumter_County,-5,48,3,,,,,,
2020-04-03,US,GA_Sumter_County,-4,67,4,,,,,,
2020-04-04,US,GA_Sumter_County,-3,83,4,,,,,,
2020-04-05,US,GA_Sumter_County,-2,83,4,,,,,,
2020-04-06,US,GA_Sumter_County,-1,90,4,,,,,,
2020-04-07,US,GA_Sumter_County,0,162,5,,,,,,
2020-04-08,US,GA_Sumter_County,1,180,5,,,,,,
2020-04-09,US,GA_Sumter_County,2,194,9,,,,,,
2020-04-10,US,GA_Sumter_County,3,216,9,,,,,,
2020-04-11,US,GA_Sumter_County,4,224,9,,,,,,
2020-04-12,US,GA_Sumter_County,5,239,9,,,,,,
2020-04-13,US,GA_Sumter_County,6,251,9,,,,,,
2020-04-14,US,GA_Sumter_County,7,269,12,,,,,,
2020-04-15,US,GA_Sumter_County,8,276,13,,,,,,
2020-04-16,US,GA_Sumter_County,9,292,14,,,,,,
