country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
US,Arkansas,2020-01-22,-59,0,0,,,,,,
US,Arkansas,2020-01-23,-58,0,0,,,,,,
US,Arkansas,2020-01-24,-57,0,0,,,,,,
US,Arkansas,2020-01-25,-56,0,0,,,,,,
US,Arkansas,2020-01-26,-55,0,0,,,,,,
US,Arkansas,2020-01-27,-54,0,0,,,,,,
US,Arkansas,2020-01-28,-53,0,0,,,,,,
US,Arkansas,2020-01-29,-52,0,0,,,,,,
US,Arkansas,2020-01-30,-51,0,0,,,,,,
US,Arkansas,2020-01-31,-50,0,0,,,,,,
US,Arkansas,2020-02-01,-49,0,0,,,,,,
US,Arkansas,2020-02-02,-48,0,0,,,,,,
US,Arkansas,2020-02-03,-47,0,0,,,,,,
US,Arkansas,2020-02-04,-46,0,0,,,,,,
US,Arkansas,2020-02-05,-45,0,0,,,,,,
US,Arkansas,2020-02-06,-44,0,0,,,,,,
US,Arkansas,2020-02-07,-43,0,0,,,,,,
US,Arkansas,2020-02-08,-42,0,0,,,,,,
US,Arkansas,2020-02-09,-41,0,0,,,,,,
US,Arkansas,2020-02-10,-40,0,0,,,,,,
US,Arkansas,2020-02-11,-39,0,0,,,,,,
US,Arkansas,2020-02-12,-38,0,0,,,,,,
US,Arkansas,2020-02-13,-37,0,0,,,,,,
US,Arkansas,2020-02-14,-36,0,0,,,,,,
US,Arkansas,2020-02-15,-35,0,0,,,,,,
US,Arkansas,2020-02-16,-34,0,0,,,,,,
US,Arkansas,2020-02-17,-33,0,0,,,,,,
US,Arkansas,2020-02-18,-32,0,0,,,,,,
US,Arkansas,2020-02-19,-31,0,0,,,,,,
US,Arkansas,2020-02-20,-30,0,0,,,,,,
US,Arkansas,2020-02-21,-29,0,0,,,,,,
US,Arkansas,2020-02-22,-28,0,0,,,,,,
US,Arkansas,2020-02-23,-27,0,0,,,,,,
US,Arkansas,2020-02-24,-26,0,0,,,,,,
US,Arkansas,2020-02-25,-25,0,0,,,,,,
US,Arkansas,2020-02-26,-24,0,0,,,,,,
US,Arkansas,2020-02-27,-23,0,0,,,,,,
US,Arkansas,2020-02-28,-22,0,0,,,,,,
US,Arkansas,2020-02-29,-21,0,0,,,,,,
US,Arkansas,2020-03-01,-20,0,0,,,,,,
US,Arkansas,2020-03-02,-19,0,0,,,,,,
US,Arkansas,2020-03-03,-18,0,0,,,,,,
US,Arkansas,2020-03-04,-17,0,0,,,,,,
US,Arkansas,2020-03-05,-16,0,0,,,,,,
US,Arkansas,2020-03-06,-15,0,0,,,,,,
US,Arkansas,2020-03-07,-14,0,0,,,,,,
US,Arkansas,2020-03-08,-13,0,0,,,,,,
US,Arkansas,2020-03-09,-12,0,0,,,,,,
US,Arkansas,2020-03-10,-11,0,0,,,,,,
US,Arkansas,2020-03-11,-10,0,0,,,,,,
US,Arkansas,2020-03-12,-9,0,0,,,,,,
US,Arkansas,2020-03-13,-8,9,0,,,,,,
US,Arkansas,2020-03-14,-7,12,0,,,,,,
US,Arkansas,2020-03-15,-6,3,0,,,,,,
US,Arkansas,2020-03-16,-5,3,0,,,,,,
US,Arkansas,2020-03-17,-4,3,0,,,,,,
US,Arkansas,2020-03-18,-3,4,0,,,,,,
US,Arkansas,2020-03-19,-2,62,0,,,,,,
US,Arkansas,2020-03-20,-1,100,0,,,,,,
US,Arkansas,2020-03-21,0,122,0,,,,,,
US,Arkansas,2020-03-22,1,165,0,,13.0,,,,
US,Arkansas,2020-03-23,2,192,0,,13.0,,,,
US,Arkansas,2020-03-24,3,219,2,,22.0,,,,
US,Arkansas,2020-03-25,4,280,2,,22.0,,,,
US,Arkansas,2020-03-26,5,335,2,,41.0,,,,
US,Arkansas,2020-03-27,6,381,3,,48.0,,,,
US,Arkansas,2020-03-28,7,409,5,,48.0,,,,
US,Arkansas,2020-03-29,8,426,6,,43.0,,,,
US,Arkansas,2020-03-30,9,473,7,,62.0,,,,
