country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
Denmark,,2020-01-22,-48,0,0,,,,,,
Denmark,,2020-01-23,-47,0,0,,,,,,
Denmark,,2020-01-24,-46,0,0,,,,,,
Denmark,,2020-01-25,-45,0,0,,,,,,
Denmark,,2020-01-26,-44,0,0,,,,,,
Denmark,,2020-01-27,-43,0,0,,,,,,
Denmark,,2020-01-28,-42,0,0,,,,,,
Denmark,,2020-01-29,-41,0,0,,,,,,
Denmark,,2020-01-30,-40,0,0,,,,,,
Denmark,,2020-01-31,-39,0,0,,,,,,
Denmark,,2020-02-01,-38,0,0,,,,,,
Denmark,,2020-02-02,-37,0,0,,,,,,
Denmark,,2020-02-03,-36,0,0,,,,,,
Denmark,,2020-02-04,-35,0,0,,,,,,
Denmark,,2020-02-05,-34,0,0,,,,,,
Denmark,,2020-02-06,-33,0,0,,,,,,
Denmark,,2020-02-07,-32,0,0,,,,,,
Denmark,,2020-02-08,-31,0,0,,,,,,
Denmark,,2020-02-09,-30,0,0,,,,,,
Denmark,,2020-02-10,-29,0,0,,,,,,
Denmark,,2020-02-11,-28,0,0,,,,,,
Denmark,,2020-02-12,-27,0,0,,,,,,
Denmark,,2020-02-13,-26,0,0,,,,,,
Denmark,,2020-02-14,-25,0,0,,,,,,
Denmark,,2020-02-15,-24,0,0,,,,,,
Denmark,,2020-02-16,-23,0,0,,,,,,
Denmark,,2020-02-17,-22,0,0,,,,,,
Denmark,,2020-02-18,-21,0,0,,,,,,
Denmark,,2020-02-19,-20,0,0,,,,,,
Denmark,,2020-02-20,-19,0,0,,,,,,
Denmark,,2020-02-21,-18,0,0,,,,,,
Denmark,,2020-02-22,-17,0,0,,,,,,
Denmark,,2020-02-23,-16,0,0,,,,,,
Denmark,,2020-02-24,-15,0,0,,,,,,
Denmark,,2020-02-25,-14,0,0,,,,,,
Denmark,,2020-02-26,-13,0,0,,,,,,
Denmark,,2020-02-27,-12,1,0,,,,,,
Denmark,,2020-02-28,-11,1,0,,,,,,
Denmark,,2020-02-29,-10,3,0,,,,,,
Denmark,,2020-03-01,-9,4,0,,,,,,
Denmark,,2020-03-02,-8,4,0,,,,,,
Denmark,,2020-03-03,-7,6,0,,,,,,
Denmark,,2020-03-04,-6,10,0,,,,,,
Denmark,,2020-03-05,-5,10,0,,,,,,
Denmark,,2020-03-06,-4,23,0,,,,,,
Denmark,,2020-03-07,-3,23,0,,,,,,
Denmark,,2020-03-08,-2,35,0,,,,,,
Denmark,,2020-03-09,-1,90,0,,,,,,
Denmark,,2020-03-10,0,262,0,,,,,,
Denmark,,2020-03-11,1,442,0,,,,,,
Denmark,,2020-03-12,2,615,0,,,,,,
Denmark,,2020-03-13,3,801,0,,,,,,
Denmark,,2020-03-14,4,827,1,,,,,,
Denmark,,2020-03-15,5,864,2,,,,,,
Denmark,,2020-03-16,6,914,3,,,,,,
Denmark,,2020-03-17,7,977,4,,,,,,
Denmark,,2020-03-18,8,1057,4,,,,,,
Denmark,,2020-03-19,9,1151,6,,,,,,
Denmark,,2020-03-20,10,1255,9,,,,,,
Denmark,,2020-03-21,11,1326,13,,,,,,
Denmark,,2020-03-22,12,1395,13,,,,,,
Denmark,,2020-03-23,13,1450,24,,,,,,
Denmark,,2020-03-24,14,1591,32,,,,,,
Denmark,,2020-03-25,15,1724,34,,,,,,
Denmark,,2020-03-26,16,1877,41,,,,,,
Denmark,,2020-03-27,17,2046,52,,,,,,
Denmark,,2020-03-28,18,2201,65,,,,,,
Denmark,,2020-03-29,19,2395,72,,,,,,
Denmark,,2020-03-30,20,2577,77,,,,,,
Denmark,,2020-03-31,21,2860,90,,,,,,
Denmark,,2020-04-01,22,3107,104,,,,,,
Denmark,,2020-04-02,23,3386,123,,,,,,
Denmark,,2020-04-03,24,3757,139,,,,,,
Denmark,,2020-04-04,25,4077,161,,,,,,
Denmark,,2020-04-05,26,4369,179,,,,,,
Denmark,,2020-04-06,27,4681,187,,,,,,
Denmark,,2020-04-07,28,5071,203,,,,,,
Denmark,,2020-04-08,29,5402,218,,,,,,
Denmark,,2020-04-09,30,5635,237,,,,,,
Denmark,,2020-04-10,31,5819,247,,,,,,
Denmark,,2020-04-11,32,5996,260,,,,,,
Denmark,,2020-04-12,33,6174,273,,,,,,
Denmark,,2020-04-13,34,6318,285,,,,,,
Denmark,,2020-04-14,35,6511,299,,,,,,
Denmark,,2020-04-15,36,6681,309,,,,,,
Denmark,,2020-04-16,37,6879,321,,,,,,
Denmark,,2020-04-17,38,7073,336,,,,,,
Denmark,,2020-04-18,39,7242,346,,,,,,
Denmark,,2020-04-19,40,7384,355,,,,,,
Denmark,,2020-04-20,41,7515,364,,,,,,
Denmark,,2020-04-21,42,7695,370,,,,,,
Denmark,,2020-04-22,43,7912,384,,,,,,
Denmark,,2020-04-23,44,8073,394,,,,,,
Denmark,,2020-04-24,45,8210,403,,,,,,
Denmark,,2020-04-25,46,8445,418,,,,,,
Denmark,,2020-04-26,47,8575,422,,,,,,
Denmark,,2020-04-27,48,8698,427,,,,,,
Denmark,,2020-04-28,49,8851,434,,,,,,
Denmark,,2020-04-29,50,9008,443,,,,,,
Denmark,,2020-04-30,51,9158,452,,,,,,
Denmark,,2020-05-01,52,9311,460,,,,,,
Denmark,,2020-05-02,53,9407,475,,,,,,
Denmark,,2020-05-03,54,9523,484,,,,,,
Denmark,,2020-05-04,55,9670,493,,,,,,
Denmark,,2020-05-05,56,9821,503,,,,,,
Denmark,,2020-05-06,57,9938,506,,,,,,
Denmark,,2020-05-07,58,10083,514,,,,,,
Denmark,,2020-05-08,59,10218,522,,,,,,
Denmark,,2020-05-09,60,10319,526,,,,,,
Denmark,,2020-05-10,61,10429,529,,,,,,
Denmark,,2020-05-11,62,10513,533,,,,,,
Denmark,,2020-05-12,63,10591,527,,,,,,
Denmark,,2020-05-13,64,10667,533,,,,,,
Denmark,,2020-05-14,65,10713,537,,,,,,
Denmark,,2020-05-15,66,10791,537,,,,,,
Denmark,,2020-05-16,67,10858,543,,,,,,
Denmark,,2020-05-17,68,10927,547,,,,,,
Denmark,,2020-05-18,69,10968,548,,,,,,
Denmark,,2020-05-19,70,11044,551,,,,,,
Denmark,,2020-05-20,71,11117,554,,,,,,
Denmark,,2020-05-21,72,11182,561,,,,,,
