country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
United Kingdom,Cayman Islands,2020-01-22,-118,0,0,,,,,,
United Kingdom,Cayman Islands,2020-01-23,-117,0,0,,,,,,
United Kingdom,Cayman Islands,2020-01-24,-116,0,0,,,,,,
United Kingdom,Cayman Islands,2020-01-25,-115,0,0,,,,,,
United Kingdom,Cayman Islands,2020-01-26,-114,0,0,,,,,,
United Kingdom,Cayman Islands,2020-01-27,-113,0,0,,,,,,
United Kingdom,Cayman Islands,2020-01-28,-112,0,0,,,,,,
United Kingdom,Cayman Islands,2020-01-29,-111,0,0,,,,,,
United Kingdom,Cayman Islands,2020-01-30,-110,0,0,,,,,,
United Kingdom,Cayman Islands,2020-01-31,-109,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-01,-108,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-02,-107,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-03,-106,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-04,-105,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-05,-104,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-06,-103,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-07,-102,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-08,-101,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-09,-100,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-10,-99,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-11,-98,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-12,-97,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-13,-96,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-14,-95,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-15,-94,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-16,-93,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-17,-92,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-18,-91,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-19,-90,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-20,-89,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-21,-88,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-22,-87,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-23,-86,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-24,-85,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-25,-84,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-26,-83,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-27,-82,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-28,-81,0,0,,,,,,
United Kingdom,Cayman Islands,2020-02-29,-80,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-01,-79,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-02,-78,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-03,-77,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-04,-76,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-05,-75,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-06,-74,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-07,-73,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-08,-72,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-09,-71,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-10,-70,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-11,-69,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-12,-68,0,0,,,,,,
United Kingdom,Cayman Islands,2020-03-13,-67,1,0,,,,,,
United Kingdom,Cayman Islands,2020-03-14,-66,1,0,,,,,,
United Kingdom,Cayman Islands,2020-03-15,-65,1,0,,,,,,
United Kingdom,Cayman Islands,2020-03-16,-64,1,1,,,,,,
United Kingdom,Cayman Islands,2020-03-17,-63,1,1,,,,,,
United Kingdom,Cayman Islands,2020-03-18,-62,1,1,,,,,,
United Kingdom,Cayman Islands,2020-03-19,-61,3,1,,,,,,
United Kingdom,Cayman Islands,2020-03-20,-60,3,1,,,,,,
United Kingdom,Cayman Islands,2020-03-21,-59,3,1,,,,,,
United Kingdom,Cayman Islands,2020-03-22,-58,3,1,,,,,,
United Kingdom,Cayman Islands,2020-03-23,-57,5,1,,,,,,
United Kingdom,Cayman Islands,2020-03-24,-56,6,1,,,,,,
United Kingdom,Cayman Islands,2020-03-25,-55,8,1,,,,,,
United Kingdom,Cayman Islands,2020-03-26,-54,8,1,,,,,,
United Kingdom,Cayman Islands,2020-03-27,-53,8,1,,,,,,
United Kingdom,Cayman Islands,2020-03-28,-52,8,1,,,,,,
United Kingdom,Cayman Islands,2020-03-29,-51,8,1,,,,,,
United Kingdom,Cayman Islands,2020-03-30,-50,12,1,,,,,,
United Kingdom,Cayman Islands,2020-03-31,-49,14,1,,,,,,
United Kingdom,Cayman Islands,2020-04-01,-48,22,1,,,,,,
United Kingdom,Cayman Islands,2020-04-02,-47,28,1,,,,,,
United Kingdom,Cayman Islands,2020-04-03,-46,28,1,,,,,,
United Kingdom,Cayman Islands,2020-04-04,-45,35,1,,,,,,
