country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered,people_vaccinated,people_fully_vaccinated,daily_vaccinations
France,St Martin,2020-01-22,-205,0,0,,,,,,,,,
France,St Martin,2020-01-23,-204,0,0,,,,,,,,,
France,St Martin,2020-01-24,-203,0,0,,,,,,,,,
France,St Martin,2020-01-25,-202,0,0,,,,,,,,,
France,St Martin,2020-01-26,-201,0,0,,,,,,,,,
France,St Martin,2020-01-27,-200,0,0,,,,,,,,,
France,St Martin,2020-01-28,-199,0,0,,,,,,,,,
France,St Martin,2020-01-29,-198,0,0,,,,,,,,,
France,St Martin,2020-01-30,-197,0,0,,,,,,,,,
France,St Martin,2020-01-31,-196,0,0,,,,,,,,,
France,St Martin,2020-02-01,-195,0,0,,,,,,,,,
France,St Martin,2020-02-02,-194,0,0,,,,,,,,,
France,St Martin,2020-02-03,-193,0,0,,,,,,,,,
France,St Martin,2020-02-04,-192,0,0,,,,,,,,,
France,St Martin,2020-02-05,-191,0,0,,,,,,,,,
France,St Martin,2020-02-06,-190,0,0,,,,,,,,,
France,St Martin,2020-02-07,-189,0,0,,,,,,,,,
France,St Martin,2020-02-08,-188,0,0,,,,,,,,,
France,St Martin,2020-02-09,-187,0,0,,,,,,,,,
France,St Martin,2020-02-10,-186,0,0,,,,,,,,,
France,St Martin,2020-02-11,-185,0,0,,,,,,,,,
France,St Martin,2020-02-12,-184,0,0,,,,,,,,,
France,St Martin,2020-02-13,-183,0,0,,,,,,,,,
France,St Martin,2020-02-14,-182,0,0,,,,,,,,,
France,St Martin,2020-02-15,-181,0,0,,,,,,,,,
France,St Martin,2020-02-16,-180,0,0,,,,,,,,,
France,St Martin,2020-02-17,-179,0,0,,,,,,,,,
France,St Martin,2020-02-18,-178,0,0,,,,,,,,,
France,St Martin,2020-02-19,-177,0,0,,,,,,,,,
France,St Martin,2020-02-20,-176,0,0,,,,,,,,,
France,St Martin,2020-02-21,-175,0,0,,,,,,,,,
France,St Martin,2020-02-22,-174,0,0,,,,,,,,,
France,St Martin,2020-02-23,-173,0,0,,,,,,,,,
France,St Martin,2020-02-24,-172,0,0,,,,,,,,,
France,St Martin,2020-02-25,-171,0,0,,,,,,,,,
France,St Martin,2020-02-26,-170,0,0,,,,,,,,,
France,St Martin,2020-02-27,-169,0,0,,,,,,,,,
France,St Martin,2020-02-28,-168,0,0,,,,,,,,,
France,St Martin,2020-02-29,-167,0,0,,,,,,,,,
France,St Martin,2020-03-01,-166,0,0,,,,,,,,,
France,St Martin,2020-03-02,-165,0,0,,,,,,,,,
