country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
US,Rhode Island,2020-01-22,-61,0,0,,,,,,
US,Rhode Island,2020-01-23,-60,0,0,,,,,,
US,Rhode Island,2020-01-24,-59,0,0,,,,,,
US,Rhode Island,2020-01-25,-58,0,0,,,,,,
US,Rhode Island,2020-01-26,-57,0,0,,,,,,
US,Rhode Island,2020-01-27,-56,0,0,,,,,,
US,Rhode Island,2020-01-28,-55,0,0,,,,,,
US,Rhode Island,2020-01-29,-54,0,0,,,,,,
US,Rhode Island,2020-01-30,-53,0,0,,,,,,
US,Rhode Island,2020-01-31,-52,0,0,,,,,,
US,Rhode Island,2020-02-01,-51,0,0,,,,,,
US,Rhode Island,2020-02-02,-50,0,0,,,,,,
US,Rhode Island,2020-02-03,-49,0,0,,,,,,
US,Rhode Island,2020-02-04,-48,0,0,,,,,,
US,Rhode Island,2020-02-05,-47,0,0,,,,,,
US,Rhode Island,2020-02-06,-46,0,0,,,,,,
US,Rhode Island,2020-02-07,-45,0,0,,,,,,
US,Rhode Island,2020-02-08,-44,0,0,,,,,,
US,Rhode Island,2020-02-09,-43,0,0,,,,,,
US,Rhode Island,2020-02-10,-42,0,0,,,,,,
US,Rhode Island,2020-02-11,-41,0,0,,,,,,
US,Rhode Island,2020-02-12,-40,0,0,,,,,,
US,Rhode Island,2020-02-13,-39,0,0,,,,,,
US,Rhode Island,2020-02-14,-38,0,0,,,,,,
US,Rhode Island,2020-02-15,-37,0,0,,,,,,
US,Rhode Island,2020-02-16,-36,0,0,,,,,,
US,Rhode Island,2020-02-17,-35,0,0,,,,,,
US,Rhode Island,2020-02-18,-34,0,0,,,,,,
US,Rhode Island,2020-02-19,-33,0,0,,,,,,
US,Rhode Island,2020-02-20,-32,0,0,,,,,,
US,Rhode Island,2020-02-21,-31,0,0,,,,,,
US,Rhode Island,2020-02-22,-30,0,0,,,,,,
US,Rhode Island,2020-02-23,-29,0,0,,,,,,
US,Rhode Island,2020-02-24,-28,0,0,,,,,,
US,Rhode Island,2020-02-25,-27,0,0,,,,,,
US,Rhode Island,2020-02-26,-26,0,0,,,,,,
US,Rhode Island,2020-02-27,-25,0,0,,,,,,
US,Rhode Island,2020-02-28,-24,0,0,,,,,,
US,Rhode Island,2020-02-29,-23,0,0,,,,,,
US,Rhode Island,2020-03-01,-22,1,0,,,,,,
US,Rhode Island,2020-03-02,-21,2,0,,,,,,
US,Rhode Island,2020-03-03,-20,2,0,,,,,,
US,Rhode Island,2020-03-04,-19,2,0,,,,,,
US,Rhode Island,2020-03-05,-18,2,0,,,,,,
US,Rhode Island,2020-03-06,-17,2,0,,,,,,
US,Rhode Island,2020-03-07,-16,3,0,,,,,,
US,Rhode Island,2020-03-08,-15,3,0,,,,,,
US,Rhode Island,2020-03-09,-14,3,0,,,,,,
US,Rhode Island,2020-03-10,-13,3,0,,,,,,
US,Rhode Island,2020-03-11,-12,5,0,,,,,,
US,Rhode Island,2020-03-12,-11,3,0,,,,,,
US,Rhode Island,2020-03-13,-10,12,0,,,,,,
US,Rhode Island,2020-03-14,-9,20,0,,,,,,
US,Rhode Island,2020-03-15,-8,20,0,,,,,,
US,Rhode Island,2020-03-16,-7,21,0,,,,,,
US,Rhode Island,2020-03-17,-6,23,0,,,,,,
US,Rhode Island,2020-03-18,-5,33,0,,,,,,
US,Rhode Island,2020-03-19,-4,44,0,,,,,,
US,Rhode Island,2020-03-20,-3,54,0,,,,,,
US,Rhode Island,2020-03-21,-2,66,0,,,,,,
US,Rhode Island,2020-03-22,-1,83,0,,,,,,
US,Rhode Island,2020-03-23,0,106,0,,,,,,
US,Rhode Island,2020-03-24,1,124,0,,,,,,
US,Rhode Island,2020-03-25,2,132,0,,,,,,
US,Rhode Island,2020-03-26,3,165,0,,,,,,
US,Rhode Island,2020-03-27,4,203,0,,,,,,
US,Rhode Island,2020-03-28,5,239,2,,,,,,
US,Rhode Island,2020-03-29,6,294,3,,,,,,
US,Rhode Island,2020-03-30,7,408,4,,,,,,
US,Rhode Island,2020-03-31,8,488,8,,,,,,
US,Rhode Island,2020-04-01,9,566,10,,,,,,
US,Rhode Island,2020-04-02,10,645,12,,,,,,
US,Rhode Island,2020-04-03,11,711,14,,,,,,
US,Rhode Island,2020-04-04,12,806,17,,,,,,
US,Rhode Island,2020-04-05,13,922,25,,,,,,
US,Rhode Island,2020-04-06,14,1082,27,,,,,,
US,Rhode Island,2020-04-07,15,1229,30,,,,,,
US,Rhode Island,2020-04-08,16,1450,35,,,,,,
US,Rhode Island,2020-04-09,17,1727,43,,,,,,
US,Rhode Island,2020-04-10,18,1727,43,,,,,,
US,Rhode Island,2020-04-11,19,2349,56,,,,,,
US,Rhode Island,2020-04-12,20,2665,63,,,,,,
US,Rhode Island,2020-04-13,21,2665,63,,,,,,
US,Rhode Island,2020-04-14,22,3251,80,,,,,,
US,Rhode Island,2020-04-15,23,3251,80,,,,,,
US,Rhode Island,2020-04-16,24,3529,87,,,,,,
US,Rhode Island,2020-04-17,25,4177,118,,,,,,
US,Rhode Island,2020-04-18,26,4491,137,,,,,,
US,Rhode Island,2020-04-19,27,4706,150,,,,,,
US,Rhode Island,2020-04-20,28,5090,155,,,,,,
US,Rhode Island,2020-04-21,29,5500,171,,,,,,
US,Rhode Island,2020-04-22,30,5841,181,,,,,,
US,Rhode Island,2020-04-23,31,6256,189,,,,,,
US,Rhode Island,2020-04-24,32,6699,202,,,,,,
US,Rhode Island,2020-04-25,33,7129,215,,,,,,
US,Rhode Island,2020-04-26,34,7439,226,,,,,,
US,Rhode Island,2020-04-27,35,7708,233,,,,,,
US,Rhode Island,2020-04-28,36,7927,239,,,,,,
US,Rhode Island,2020-04-29,37,8247,251,,,,,,
US,Rhode Island,2020-04-30,38,8621,266,,,,,,
US,Rhode Island,2020-05-01,39,8962,279,,,,,,
US,Rhode Island,2020-05-02,40,9289,296,,,,,,
US,Rhode Island,2020-05-03,41,9477,320,,,,,,
US,Rhode Island,2020-05-04,42,9652,341,,,,,,
US,Rhode Island,2020-05-05,43,9933,355,,,,,,
US,Rhode Island,2020-05-06,44,10205,370,,,,,,
US,Rhode Island,2020-05-07,45,10530,388,,,,,,
US,Rhode Island,2020-05-08,46,10779,399,,,,,,
US,Rhode Island,2020-05-09,47,10989,418,,,,,,
US,Rhode Island,2020-05-10,48,11274,422,,,,,,
US,Rhode Island,2020-05-11,49,11450,430,,,,,,
US,Rhode Island,2020-05-12,50,11614,444,,,,,,
US,Rhode Island,2020-05-13,51,11835,462,,,,,,
US,Rhode Island,2020-05-14,52,12016,468,,,,,,
US,Rhode Island,2020-05-15,53,12219,479,,,,,,
US,Rhode Island,2020-05-16,54,12434,489,,,,,,
US,Rhode Island,2020-05-17,55,12674,499,,,,,,
US,Rhode Island,2020-05-18,56,12795,506,,,,,,
US,Rhode Island,2020-05-19,57,12951,532,,,,,,
US,Rhode Island,2020-05-20,58,13356,538,,,,,,
US,Rhode Island,2020-05-21,59,13571,556,,,,,,
US,Rhode Island,2020-05-22,60,13736,579,,,,,,
US,Rhode Island,2020-05-23,61,13952,597,,,,,,
US,Rhode Island,2020-05-24,62,14065,608,,,,,,
US,Rhode Island,2020-05-25,63,14065,608,,,,,,
US,Rhode Island,2020-05-26,64,14210,634,,,,,,
US,Rhode Island,2020-05-27,65,14353,655,,,,,,
US,Rhode Island,2020-05-28,66,14494,677,,,,,,
US,Rhode Island,2020-05-29,67,14635,693,,,,,,
US,Rhode Island,2020-05-30,68,14819,711,,,,,,
US,Rhode Island,2020-05-31,69,14928,718,,,,,,
US,Rhode Island,2020-06-01,70,14991,720,,,,,,
US,Rhode Island,2020-06-02,71,15112,732,,,,,,
US,Rhode Island,2020-06-03,72,15219,742,,,,,,
US,Rhode Island,2020-06-04,73,15325,756,,,,,,
US,Rhode Island,2020-06-05,74,15441,772,,,,,,
US,Rhode Island,2020-06-06,75,15441,772,,,,,,
US,Rhode Island,2020-06-07,76,15441,772,,,,,,
US,Rhode Island,2020-06-08,77,15642,799,,,,,,
US,Rhode Island,2020-06-09,78,15691,808,,,,,,
US,Rhode Island,2020-06-10,79,15756,812,,,,,,
US,Rhode Island,2020-06-11,80,15862,823,,,,,,
US,Rhode Island,2020-06-12,81,15947,833,,,,,,
US,Rhode Island,2020-06-13,82,15947,833,,,,,,
US,Rhode Island,2020-06-14,83,15947,833,,,,,,
US,Rhode Island,2020-06-15,84,16093,851,,,,,,
US,Rhode Island,2020-06-16,85,16164,865,,,,,,
US,Rhode Island,2020-06-17,86,16213,876,,,,,,
US,Rhode Island,2020-06-18,87,16269,885,,,,,,
US,Rhode Island,2020-06-19,88,16337,894,,,,,,
US,Rhode Island,2020-06-20,89,16337,894,,,,,,
US,Rhode Island,2020-06-21,90,16337,894,,,,,,
US,Rhode Island,2020-06-22,91,16459,903,,,,,,
US,Rhode Island,2020-06-23,92,16533,906,,,,,,
US,Rhode Island,2020-06-24,93,16606,912,,,,,,
US,Rhode Island,2020-06-25,94,16640,920,,,,,,
US,Rhode Island,2020-06-26,95,16661,927,,,,,,
US,Rhode Island,2020-06-27,96,16661,927,,,,,,
US,Rhode Island,2020-06-28,97,16661,927,,,,,,
US,Rhode Island,2020-06-29,98,16764,946,,,,,,
US,Rhode Island,2020-06-30,99,16813,950,,,,,,
